word;Frequency;SD
eh;30666;sì
mh;23000;sì
ma;18594;sì
cioè;14281;sì
poi;12949;sì
quindi;12146;sì
ah;9173;sì
okay;7261;sì
così;5246;sì
allora;5159;sì
mhmh;5138;sì
comunque;4990;sì
proprio;4801;sì
ehm;4584;sì
adesso;4344;sì
tipo;4297;sì
bene;3899;sì
vabbè;3748;sì
magari;3633;sì
diciamo;3406;sì
certo;3167;sì
solo;3052;sì
beh;2975;sì
su;2769;sì
insomma;2723;sì
già;2697;sì
ecco;2597;sì
tanto;2420;sì
infatti;2349;sì
niente;2207;sì
via;2206;sì
no?;2200;sì
esatto;2056;sì
appunto;1909;sì
dai;1896;sì
forse;1852;sì
ricordo;1770;sì
vero;1763;sì
capito;1664;sì
visto;1640;sì
dice;1627;sì
esempio;1524;sì
bello;1514;sì
fine;1461;sì
sai;1444;sì
vai;1422;sì
fai;1415;sì
dico;1379;sì
punto;1370;sì
gente;1364;sì
guarda;1145;sì
veramente;1123;sì
praticamente;1079;sì
posso;1050;sì
ehmh;1045;sì
penso;1021;sì
boh;985;sì
pure;983;sì
oh;981;sì
ora;946;sì
sa;940;sì
ovviamente;923;sì
abbastanza;922;sì
sembra;921;sì
grazie;917;sì
andata;903;sì
bella;903;sì
vedi;897;sì
grande;876;sì
problema;819;sì
eccetera;780;sì
basta;771;sì
quasi;766;sì
meglio;741;sì
cazzo;738;sì
sicuramente;725;sì
dici;724;sì
soprattutto;704;sì
facciamo;685;sì
almeno;672;sì
momento;656;sì
eh?;655;sì
vedo;636;sì
andiamo;628;sì
assolutamente;580;sì
giusto;556;sì
avanti;524;sì
sì?;508;sì
scusa;505;sì
mo;493;sì
mah;486;sì
buono;479;sì
madonna;459;sì
chiaro;458;sì
effettivamente;456;sì
aspetta;449;sì
vede;447;sì
vediamo;445;sì
cioé;444;sì
senti;442;sì
anzi;418;sì
oddio;414;sì
domanda;413;sì
capito?;403;sì
probabilmente;375;sì
idea;370;sì
pensa;359;sì
metti;356;sì
immagino;353;sì
benissimo;349;sì
dicevo;344;sì
direi;344;sì
davvero;341;sì
forza;339;sì
appena;327;sì
nulla;314;sì
cosa?;312;sì
sicuro;290;sì
piuttosto;281;sì
intanto;280;sì
possibile;275;sì
perfetto;275;sì
pensi;272;sì
capisco;267;sì
mica;262;sì
attimo;261;sì
mh?;259;sì
vabbé;255;si
minchia;254;sì
chiaramente;242;sì
peggio;236;sì
d''accordo;231;sì
emh;223;sì
bene?;220;sì
guardi;220;sì
semplicemente;217;sì
bravo;216;sì
completamente;214;sì
prego;201;sì
esattamente;200;sì
chiedo;194;sì
sinceramente;190;sì
molta;187;sì
chissà;183;sì
davvero?;178;sì
merda;178;sì
dunque;174;sì
perciò;172;sì
scusami;172;sì
addirittura;170;sì
okay?;166;si
vero?;161;sì
mhmhmh;155;sì
figurati;148;sì
dimmi;146;sì
ovvio;145;sì
giustamente;144;sì
raga;143;sì
super;142;sì
attenzione;142;sì
giuro;140;sì
specie;138;sì
giusto?;134;sì
naturalmente;132;sì
volentieri;130;sì
bah;128;sì
wow;125;sì
principalmente;120;sì
fondamentalmente;119;sì
scusi;116;sì
dici?;104;sì
tranquillamente;103;sì
noneh;102;sì
evidentemente;101;sì
